ClienteID,name,email,cellphone,state,city
1,Pedro Henrique Ramires,dodie.miller@crist.example,(12) 94977-9330,Rio Grande do Sul,Gravataí
2,Arthur Miguel Louzada,starla@bailey-okuneva.example,(63) 91552-0912,Minas Gerais,Juiz de Fora
3,Maria Valentina Barreto,luther@smitham-walker.test,(88) 93484-4504,Pernambuco,Jaboatão dos Guararapes
4,Larissa Chaves,mohamed@fritsch-reichert.test,(30) 95457-5873,Bahia,Salvador
5,Marcelo Macedo,flora_brakus@dickinson.test,(19) 99104-2513,Bahia,Camaçari
6,Yago Sais,carol@schmitt-gerlach.test,(66) 96848-7229,Espírito Santo,Cariacica
7,Marli Louzada,twanda@schmitt.test,(92) 94764-7873,Pernambuco,Jaboatão dos Guararapes
8,Francisco Lopes,gavin.purdy@hessel-gulgowski.test,(41) 99917-4856,Goiás,Anápolis
9,Emilly da Conceição,corey.turner@connelly.example,(22) 95776-8442,Minas Gerais,Juiz de Fora
10,Carolina Vieira,raven@reilly.example,(70) 93154-3165,Bahia,Camaçari
11,Talita Brum,collin@wintheiser.test,(91) 93297-6754,São Paulo,Ribeirão Preto
12,Pietro Antunes,denny@goodwin.test,(35) 96449-1608,Bahia,Feira de Santana
13,Theo Parreira,quentin_feil@hessel-leffler.example,(72) 95713-2218,Minas Gerais,Uberlândia
14,Júlio Raia,stacey@conroy.example,(99) 99019-4459,Ceará,Crato
15,Feliciano Franco,tory@gorczany-mosciski.example,(81) 95103-8167,Paraná,Curitiba
16,Sra. Aurora Silva,wonda_sawayn@kassulke.test,(80) 99410-8755,Ceará,Fortaleza
17,Valentina Hermingues Jr.,angla@konopelski-deckow.example,(86) 91522-1411,Ceará,Crato
18,Maria Cecília Casqueira Jr.,son@leffler.example,(68) 92250-5551,Paraná,Ponta Grossa
19,Ana Clara Meireles Neto,carmela@toy.test,(86) 94711-8594,Bahia,Feira de Santana
20,Frederico da Penha,beckie@altenwerth.test,(37) 97947-9180,Pernambuco,Olinda
21,Ana Júlia Marcondes Neto,adrien@morissette.test,(41) 93231-3439,Bahia,Camaçari
22,Letícia Tavares Neto,vashti.hessel@williamson-miller.example,(11) 97123-4085,Rio Grande do Sul,Porto Alegre
23,Arthur Galego,rolland.runolfsdottir@price.example,(24) 97938-3790,Ceará,Fortaleza
24,Isabela Corrêa,charlott@oconner.test,(83) 91783-5881,Rio Grande do Sul,Gravataí
25,Sirineu Gomide,fidel@huel.example,(60) 99595-8932,Rio Grande do Sul,Santa Maria
26,Dr. Alessandra Crespo,judson@mueller-baumbach.test,(36) 93976-0581,Rio Grande do Sul,Gravataí
27,Lorraine Menendes Filho,danilo.blick@stracke.example,(80) 99212-7281,Ceará,Juazeiro do Norte
28,Dra. Mariah Rêgo,henrietta_blick@frami.example,(52) 93487-4258,Rio Grande do Sul,Gravataí
29,Isabela Espinheira,earnest_luettgen@williamson.test,(18) 95507-6146,São Paulo,Santos
30,Sr. Davi Luiz Ramalho,breana.schuppe@bergnaum.test,(29) 91280-0980,São Paulo,Ribeirão Preto
31,Srta. João Victor Figueira,louanne.donnelly@marks.example,(67) 95305-2764,Paraná,Maringá
32,Dr. Hugo Veles,hwa@leannon.example,(68) 98494-9866,Minas Gerais,Juiz de Fora
33,Oliver Vasques,gordon.flatley@padberg.example,(46) 91801-9334,Minas Gerais,Betim
34,João Victor Veles,francis@torp.test,(42) 98899-0729,Goiás,Rio Verde
35,Maria Helena Ramalho,latoria_williamson@hudson.example,(95) 96382-3065,Goiás,Aparecida de Goiânia
36,Carla Gomes,arthur@kovacek.test,(73) 96936-5495,Bahia,Itabuna
37,Henry Moniz Jr.,mervin.braun@schneider.test,(26) 91346-4820,Espírito Santo,Linhares
38,Gabrielly Ramos,grant.larkin@schimmel.test,(51) 97198-8686,Minas Gerais,Juiz de Fora
39,Suélen da Cunha,gaynelle@kuvalis.example,(40) 99441-1114,Rio Grande do Sul,Santa Maria
40,Helena Lessa Jr.,conrad@rodriguez.example,(41) 95912-1707,Rio de Janeiro,Rio de Janeiro
41,Sra. Pietro dos Reis,alisia@bernhard.example,(91) 98210-9781,São Paulo,Sorocaba
42,Isabelly Neves,jack_harvey@jacobs.test,(40) 98001-4464,São Paulo,Santos
43,Isis Domingues,drew@jaskolski.test,(45) 95162-3530,Minas Gerais,Juiz de Fora
44,Cauã Passarinho Jr.,deann@damore.example,(64) 94790-7025,São Paulo,Santos
